"","Date","Away","Home","Actual","Spread_1","Spread_2","Spread_4","Spread_5a","Spread_5b","Spread_5c","Spread_6","Spread_7","Spread_8","Spread_9","Spread_11","Spread_12","Spread_13","Spread_14","Spread_15","Spread_16","Spread_17"
"1","4/4/2023","Toronto Raptors","Charlotte Hornets",-20,-1.997697302,-2.20975525,6.44,-7.157256408,-7,-5.7,-1.67,-3.152886378,-1.2,-4.62518,0.25,-12.58383952,-5.020399,-2.126337,-10.6426846,-1.01433203,-9
"2","4/4/2023","Milwaukee Bucks","Washington Wizards",-12,1.410869976,-4.579624683,-2.64,-5.502954493,-11,0.11,2.64,-3.402786672,0.2,-2.41798,-3.1,-3.553330787,20.54754,-0.910457,-4.225289345,-8.577931394,-8
"3","4/4/2023","Cleveland Cavaliers","Orlando Magic",-4,-0.426874472,-1.113429019,-7.22,0.124965579,-8,0.575,-6.33,-2.633171902,5.5,-2.41798,-2.4,22.95408331,-8.408506,3.566048,-0.917284975,1.423546909,-10
"4","4/4/2023","Miami Heat","Detroit Pistons",-13,-0.472255408,1.298327921,-2.79,-3.518257514,-6,-2.21,-8.64,-4.179081827,4.9,-5.9495,0.82,-23.69384589,2.37654,5.594665,-7.139615633,-3.974801192,-12
"5","4/4/2023","Minnesota Timberwolves","Brooklyn Nets",-5,-0.169176465,-3.032480137,-7.14,1.228587484,-1,3.855,2.18,2.755222992,4,-0.21077,-0.15,12.77513322,-2.7463,-0.815061,-6.910426786,-8.016412542,-10
"6","4/4/2023","Denver Nuggets","Houston Rockets",21,-4.344339988,-7.160003648,-15.32,-4.651539286,-8,-2.04,-7.2,-4.898624449,7.7,-6.83238,-11.16,-25.84078902,6.197627,-1.852151,-13.68227882,-5.193216864,-10
"7","4/4/2023","Portland Trail Blazers","Memphis Grizzlies",10,3.977990073,2.247066389,-3.83,11.2155223,13,6.68,12.11,9.558508317,-7.5,-8.59814,8.63,54.88041175,43.06995,9.222805,18.08265041,10.79935802,5
"8","4/4/2023","Sacramento Kings","New Orleans Pelicans",-18,-2.528919611,-6.972587996,-5.48,-0.472834422,-1,-1.27,3.52,3.254878582,2.9,-2.85942,-4.39,12.76374124,16.5853,-3.837437,5.540639815,-10.83698121,11
"9","4/4/2023","Boston Celtics","Philadelphia 76ers",2,0.091997888,-3.618631654,-4.81,1.914809619,-4,-1.02,1.65,-0.759207831,8.3,-0.65221,-2.72,-9.206492889,9.279415,-1.337572,-14.70773598,-4.584617423,-2
"10","4/4/2023","Atlanta Hawks","Chicago Bulls",-18,-1.065961845,-4.788354781,-5.04,2.815131842,4,4.045,4.84,3.144912716,-5,-2.85942,1.29,5.198997346,-22.52083,-1.959856,-7.97514218,-3.489460056,-10
"11","4/4/2023","Los Angeles Lakers","Utah Jazz",-2,-0.397937659,-0.592093577,-6.41,-0.298037003,-3,-1.51,11.67,0.725876115,-0.7,-1.97653,-0.15,16.83366003,1.03903,1.39625,4.655101966,-2.195758353,-11
"12","4/4/2023","Oklahoma City Thunder","Golden State Warriors",11,-1.587840416,0.171180394,-0.07,9.796512094,2,4.65,17.73,4.3622484,4.9,-5.50806,12.46,21.53262589,10.34613,5.247471,7.935820371,6.82787714,11
"13","4/4/2023","San Antonio Spurs","Phoenix Suns",21,1.453914532,1.615643363,-2.01,12.82933688,11,8.19,12.37,12.21325586,-4,-11.2468,6.64,34.91096038,6.129842,3.321593,18.45416961,12.25762769,12
"14","4/5/2023","Brooklyn Nets","Detroit Pistons",-15,-3.690880802,-3.071005762,-11.64,-7.448572035,-5,-4.875,-10.07,-6.321160559,-4.1,-5.06662,-8,-15.52227463,4.434099,-1.081713,-4.564028601,-7.165708636,-15
"15","4/5/2023","New York Knicks","Indiana Pacers",-9,-1.659771527,-0.913986722,-3.99,-3.79518114,-2,-3.665,0.36,-5.17232199,6.8,-2.85942,3.19,-5.685966528,-11.01458,3.474287,-10.24987146,2.969622298,-9
"16","4/5/2023","Washington Wizards","Atlanta Hawks",18,3.778012452,3.72000748,-7.14,2.336038914,-2,0.22,6.31,2.013397526,5.8,-3.7423,3.19,21.20851606,17.30597,6.48757,7.631351596,13.18276498,10
"17","4/5/2023","Toronto Raptors","Boston Celtics",4,1.672040527,4.123332878,0.24,10.48423611,2,3.62,-2.82,6.819104465,-0.7,-5.06662,13.79,40.96178839,3.562254,9.484225,9.652499148,13.94215011,18
"18","4/5/2023","Chicago Bulls","Milwaukee Bucks",13,1.927037603,2.295370555,-6.26,7.850467624,4,-0.75,8.67,6.645354367,14.9,-4.62518,8.05,39.39854091,-8.063193,6.856306,8.430726596,7.992802502,7
"19","4/5/2023","Memphis Grizzlies","New Orleans Pelicans",7,0.201853028,-0.114976517,-2.6,6.009088942,2,3.515,4.76,2.205143781,12.5,-1.09365,0.78,11.18887563,-1.106418,0.820424,-7.416767161,0.506011009,-15
"20","4/5/2023","Sacramento Kings","Dallas Mavericks",4,-6.505520526,-7.282308703,-6.68,-1.920715329,-2,-3.64,6.47,0.157421965,-4,-3.7423,-4.81,-12.64183465,5.186062,2.910293,-3.356390863,-4.324404349,6
"21","4/5/2023","Los Angeles Lakers","Los Angeles Clippers",7,-2.376260975,-4.366270135,-5.44,-0.748133072,1,-2.095,6.97,3.151818179,6.3,-1.97653,-2.27,8.446960793,-12.23016,-4.708077,6.770492135,-0.720269851,6
"22","4/6/2023","Cleveland Cavaliers","Orlando Magic",-24,-0.426874472,-1.113429019,-7.22,0.120645714,-8,0.575,-6.33,-2.509090473,5.5,-2.41798,-2.4,22.95408331,-8.408506,3.566048,-0.917284975,1.423546909,-10
"23","4/6/2023","Miami Heat","Philadelphia 76ers",-28,4.509918754,5.683714988,0.79,8.092911125,1,3.54,0.27,6.74455942,11.4,-5.06662,8.19,21.30196992,20.36667,7.914641,-2.165995391,1.124296164,5
"24","4/6/2023","Portland Trail Blazers","San Antonio Spurs",2,-0.562671719,-2.089569435,-5.33,-2.337419273,-2,1.145,-7.53,-3.07958969,2.4,-0.65221,1.85,17.10018838,9.730214,3.315933,-5.159969228,4.146490339,-9
"25","4/6/2023","Oklahoma City Thunder","Utah Jazz",-16,-0.430688637,-1.059587225,-2.74,4.359909675,2,1.8,12.47,1.798918952,-2.1,-1.09365,3.56,25.79588048,3.500092,4.133267,-0.945997629,4.768131772,11
"26","4/6/2023","Denver Nuggets","Phoenix Suns",4,-2.070633089,-3.811154806,-10.9,2.634687766,2,4.065,9.2,2.524543414,-0.9,-1.97653,-0.79,2.265667911,0.4796298,1.674952,-2.186466966,-0.888096717,-7
"27","4/7/2023","Houston Rockets","Charlotte Hornets",-3,1.786956535,0.340505159,-6.59,4.36873037,2,0.61,6.21,3.707194102,1.7,-4.62518,2.02,26.34946471,14.62142,-0.761248,-2.387264932,-11.48591503,-8
"28","4/7/2023","Miami Heat","Washington Wizards",6,4.478566886,3.790867126,1.76,0.326193069,-3,1.66,-0.8,3.858524485,9.7,-1.09365,9.27,10.11515433,19.9454,7.529856,-1.927925308,3.823513356,-9
"29","4/7/2023","Detroit Pistons","Indiana Pacers",-7,1.257337979,4.222819479,-0.66,5.700442292,4,3.745,4.94,5.168777528,2.5,-6.83238,12.77,38.25123011,-15.61247,9.786839,3.854845981,18.05969506,16
"30","4/7/2023","Orlando Magic","Brooklyn Nets",17,1.60503236,1.068084233,-0.08,3.30134563,4,2.185,7.05,5.590658658,9.7,-5.9495,4.59,2.837732747,13.95758,4.944989,-2.958438591,0.776428416,14
"31","4/7/2023","Toronto Raptors","Boston Celtics",19,1.672040527,4.123332878,0.24,10.63273106,7,3.62,-2.81,6.489768997,-0.7,-5.06662,13.79,40.96178839,3.562254,9.484225,9.652499148,13.94215011,18
"32","4/7/2023","Philadelphia 76ers","Atlanta Hawks",-5,2.039259507,1.545241304,-10.08,-2.150928562,-3,-1.485,4.29,0.106810267,4.6,0.230667,-1.15,6.322359632,2.635344,3.582899,10.31958828,0.478388409,-11
"33","4/7/2023","Memphis Grizzlies","Milwaukee Bucks",-23,1.130540056,-0.914946888,-2.54,8.956968243,3,2.495,-8.28,2.833451399,16.1,-3.30086,10.58,12.28719647,-22.69024,5.996375,-11.35463363,8.364140781,2
"34","4/7/2023","New York Knicks","New Orleans Pelicans",8,1.213797256,-2.136294777,-2.54,0.602424677,1,0.095,-7.97,2.37236997,12,-0.65221,0.26,28.36293471,8.682088,-0.325887,-3.860515402,-3.491394995,11
"35","4/7/2023","Chicago Bulls","Dallas Mavericks",-3,-2.978250339,-0.265335284,-7.52,3.454707416,-3,-2.1,2.03,0.834191991,5.8,-2.41798,-2.18,12.89464418,-3.653105,2.607499,-0.751079686,6.647249587,-7
"36","4/7/2023","Golden State Warriors","Sacramento Kings",-22,4.810079964,2.100085757,-1.07,7.962952411,6,4.445,11.17,3.962045594,-4,-0.21077,8.8,33.28308286,18.14797,6.833822,1.2911084,7.090506369,-3
"37","4/7/2023","Phoenix Suns","Los Angeles Lakers",14,3.380381359,1.855989012,-5.32,4.403353731,1,1.77,-4.17,1.766046909,4.4,-3.30086,5.39,14.57211905,-21.69018,3.617352,-5.566404564,-3.075806205,1
"38","4/8/2023","Denver Nuggets","Utah Jazz",4,-0.802735566,-0.702160728,-11.41,0.224962791,-4,1.875,17.04,-1.138534367,6.7,-2.41798,-1.2,9.868947126,10.94543,5.774448,-2.002830262,-2.599846805,-9
"39","4/8/2023","Portland Trail Blazers","Los Angeles Clippers",11,0.687496808,-1.132682382,-4.84,4.405948823,6,4.235,14.99,5.574165965,7.1,-6.39094,3.87,32.6857695,9.869293,1.453198,12.061508,2.074608769,7
"40","4/8/2023","Minnesota Timberwolves","San Antonio Spurs",-20,-2.018861952,-4.531015114,-10.14,-6.072140608,-12,-1.765,-4.7,-6.449062013,4.1,-5.9495,-2.73,1.373160266,-6.82838,-1.094599,-10.65911069,-0.995655588,-11
"41","4/9/2023","Atlanta Hawks","Boston Celtics",6,-0.976473214,-0.528596405,-6.38,8.743903639,5,5.805,6.84,9.733619818,5.7,-7.27382,8.62,38.19191255,1.211947,4.650548,4.756728433,3.917734176,9
"42","4/9/2023","Philadelphia 76ers","Brooklyn Nets",-29,-1.271306844,-2.467121879,-7.68,-2.527297543,-3,0.975,1.11,0.331062393,4.5,-1.53509,-4.42,-7.475232162,-3.966016,-1.061598,0.835379688,-12.66322708,-14
"43","4/9/2023","Detroit Pistons","Chicago Bulls",22,4.501976267,2.253006396,2.87,7.373341892,4,8.01,10.34,10.07564494,-2.6,-10.3639,12.38,55.05637003,-19.44785,6.182684,6.675169244,11.37804781,15
"44","4/9/2023","Charlotte Hornets","Cleveland Cavaliers",-11,2.376577045,0.38428495,1.01,9.074551,10,6.865,13.33,9.598734253,-2.9,-9.48102,2.68,18.44225453,-9.891798,0.73368,8.746816694,1.512297415,10
"45","4/9/2023","Orlando Magic","Miami Heat",13,-2.838697435,-3.317710738,-4.55,4.531978398,7,-0.83,12.78,2.780535711,1.6,-5.50806,3.32,11.60120517,20.75015,1.916921,-1.501862178,7.364004704,8
"46","4/9/2023","Indiana Pacers","New York Knicks",-5,1.839772306,-0.469591428,-4.63,7.146558069,4,5.74,11.21,9.925723879,-3.6,-7.27382,2.62,39.64074085,-13.23797,4.211137,10.24987146,6.223998939,5
"47","4/9/2023","Milwaukee Bucks","Toronto Raptors",16,-0.543314213,-5.056812417,-7.25,-0.34254207,-4,2.64,0.27,1.184907211,-1.5,-0.65221,-2.46,-2.688102897,21.70946,-1.149075,-7.989350374,-8.504738482,-8
"48","4/9/2023","Houston Rockets","Washington Wizards",-5,4.735782466,2.142567202,0.1,5.495856399,9,5.305,5.45,7.073661258,5.3,-8.1567,6.15,42.85886151,23.92182,3.858848,5.382315256,-0.398494908,-6
"49","4/9/2023","San Antonio Spurs","Dallas Mavericks",-21,-1.170323136,1.904347663,-1.84,11.62656621,7,5.63,7.66,10.68773696,1.5,-11.2468,4.77,32.50723083,4.859193,4.812552,9.038437877,17.01983254,14
"50","4/9/2023","Sacramento Kings","Denver Nuggets",14,0.229825991,-4.367641691,0.56,2.873024819,-3,-2.07,4.96,2.710799579,4.8,-4.18374,9.3,6.16056391,-10.42983,1.41679,0.476612244,-6.498875941,7
"51","4/9/2023","Utah Jazz","Los Angeles Lakers",11,3.81302625,-1.527129081,-5.99,4.58965015,3,3.76,-5.67,4.657243901,0.1,-8.59814,2.84,8.772138547,6.79399,0.868926,-4.625363678,-4.093604414,5
"52","4/9/2023","New Orleans Pelicans","Minnesota Timberwolves",5,0.382805182,0.795870947,-6.06,1.397755605,-3,-1.635,9.39,0.270797311,-1.4,-1.53509,2.49,-12.1418894,3.928398,1.935761,0.536359092,-1.051664568,-12
"53","4/9/2023","Memphis Grizzlies","Oklahoma City Thunder",15,-0.484883535,-0.132421904,-2.63,3.062374357,-1,1.815,-1.91,-1.867824122,12.2,-1.09365,5.69,-18.66242674,10.1085,6.715134,-13.44993305,8.333467175,-12
"54","4/9/2023","Los Angeles Clippers","Phoenix Suns",-5,1.004278106,-0.36584092,-7.01,2.313197418,2,3.55,10.63,6.542035572,-5.7,-5.50806,0.1,17.61795253,7.525858,-0.438352,4.943656374,-2.770496979,-2
"55","4/9/2023","Golden State Warriors","Portland Trail Blazers",-56,-1.854238544,-4.752495193,-5.6,-0.342096052,-6,-3.67,-7.14,-4.153769179,-0.6,-4.62518,-2.03,-5.760057308,19.83385,-1.126014,-10.12415355,-11.77371244,-5
