"","Date","Away","Home","Actual","Total_1","Total_2","Total_4","Total_5a","Total_5b","Total_5c","Total_6","Total_7","Total_8","Total_9","Total_11","Total_12","Total_13","Total_14","Total_15","Total_16","Total_17"
"1","4/4/2023","Toronto Raptors","Charlotte Hornets",220,220.729616,224.9796393,208.739,222.2283528,223,227.14,223.4,228.5718652,223.2729,225.1150729,224.73,235.3909541,229.322,226.1395,227.7273576,211.1584007,224
"2","4/4/2023","Milwaukee Bucks","Washington Wizards",268,223.3963341,230.3048899,217.343,230.6615482,227,231.7,227.94,236.2978275,227.5704,233.0589937,232.09,259.031259,214.4411,230.4187,233.7369304,242.688037,231
"3","4/4/2023","Cleveland Cavaliers","Orlando Magic",230,219.2075612,224.4635151,217.641,220.2322771,219,225.905,218.85,222.5324662,221.4444,224.2654496,225.52,241.9172794,200.6655,223.7182,221.1995406,230.2266644,224
"4","4/4/2023","Miami Heat","Detroit Pistons",223,219.288439,220.3966115,201.132,218.629394,223,222.68,206.49,223.1280609,214.3953,230.2383363,215.05,226.2101741,214.041,223.7384,218.8291069,219.6990988,229
"5","4/4/2023","Minnesota Timberwolves","Brooklyn Nets",209,220.1859444,229.7037619,221.588,228.6555202,229,226.725,230.55,233.9333374,224.1203,216.1391511,235.64,252.4202029,215.1636,226.1888,232.6101772,226.369829,224
"6","4/4/2023","Denver Nuggets","Houston Rockets",227,220.0825612,227.4518559,214,224.8027086,229,225.39,230.14,231.823489,222.7159,223.2355204,226.8,239.9648437,213.0898,228.0247,229.4277933,227.3654183,229
"7","4/4/2023","Portland Trail Blazers","Memphis Grizzlies",228,225.1256593,230.5168625,218.572,231.43416,226,228.12,225.32,235.6996084,219.1212,237.5148329,227.03,260.6619006,229.502,230.5419,232.2639524,236.7550545,227
"8","4/4/2023","Sacramento Kings","New Orleans Pelicans",224,230.0121194,235.3923258,220.108,228.534858,240,230.75,225.43,238.1129572,227.2726,233.1315046,232.64,261.6678599,232.3014,234.364,240.685971,237.2792182,225
"9","4/4/2023","Boston Celtics","Philadelphia 76ers",204,229.4626803,233.3157844,214.001,228.1779666,224,228.08,211.21,231.1222579,221.6233,231.7128769,226.51,302.7185903,256.7623,225.919,230.3199968,231.6937855,230
"10","4/4/2023","Atlanta Hawks","Chicago Bulls",228,222.3676937,231.6542883,219.153,231.5530046,230,232.305,224.58,237.9939909,224.1157,227.4965646,236.89,258.0812866,195.1588,232.2977,228.6176715,230.0146098,230
"11","4/4/2023","Los Angeles Lakers","Utah Jazz",268,224.0205613,233.5348793,218.579,239.6334861,241,234.9,223.85,240.4188432,217.9798,239.3161183,230.28,247.0393058,224.2971,237.8816,235.6660782,230.8955553,225
"12","4/4/2023","Oklahoma City Thunder","Golden State Warriors",261,223.2847458,236.116829,214.838,237.7200683,231,232.05,212.82,241.1480929,225.2537,227.1782238,232.31,243.7272187,234.5577,238.1322,237.0551733,224.3427957,231
"13","4/4/2023","San Antonio Spurs","Phoenix Suns",209,219.2993493,226.1848995,209.131,233.8533217,235,231.41,223.12,236.3055891,221.7696,233.6268388,234.58,266.0140794,203.327,231.1239,225.4326976,218.0508311,228
"14","4/5/2023","Brooklyn Nets","Detroit Pistons",231,220.1702147,224.7743747,213.081,224.7603781,226,228.835,235.76,231.7256032,219.9637,238.4966464,226.15,226.1820215,213.8544,226.5436,225.6066173,224.1764822,233
"15","4/5/2023","New York Knicks","Indiana Pacers",267,226.3499463,231.5602455,215.961,233.8558752,231,233.045,220.82,235.5445202,216.7679,235.7437326,227.45,251.1040383,204.8497,234.6986,231.7854831,236.7661557,229
"16","4/5/2023","Washington Wizards","Atlanta Hawks",250,227.2277882,231.1348146,219.847,231.7400653,227,232.89,229.19,239.4713538,228.8649,252.2588085,236.04,NA,229.2396,231.1804,237.4871195,234.5104449,232
"17","4/5/2023","Toronto Raptors","Boston Celtics",190,219.8896415,230.9819107,217.074,227.6746388,224,228.75,234.71,229.5616524,224.2855,229.2912799,226.69,264.656312,226.9956,221.7547,235.7556135,227.6655685,231
"18","4/5/2023","Chicago Bulls","Milwaukee Bucks",197,215.1998732,230.161908,222.27,230.5395959,223,230.99,225.34,232.7713123,222.8481,231.0568334,233.4,249.3683524,201.3519,229.9114,227.350232,235.8457268,229
"19","4/5/2023","Memphis Grizzlies","New Orleans Pelicans",269,224.5530514,227.9941354,217.94,231.8559074,230,227.495,227.91,232.7424407,219.3686,233.1270253,230.92,269.5807595,232.1351,233.5159,242.329185,225.5377811,224
"20","4/5/2023","Sacramento Kings","Dallas Mavericks",242,225.715564,234.7573236,218.807,228.9685886,231,235.52,214.54,238.2884908,222.2128,226.2324721,225.8,253.5953872,202.7398,227.2684,235.4713432,242.0738938,226
"21","4/5/2023","Los Angeles Lakers","Los Angeles Clippers",243,219.9032569,229.7898321,215.468,233.1159376,232,231.235,212.45,233.2032952,222.4534,241.4440598,NA,239.2948244,218.0755,232.5584,228.1721284,231.6747217,228
"22","4/6/2023","Cleveland Cavaliers","Orlando Magic",212,219.2075612,224.4635151,217.641,219.9028499,219,225.905,218.85,223.0354347,221.4444,219.5696545,225.52,241.9172794,200.6655,223.7182,221.1995406,230.2266644,224
"23","4/6/2023","Miami Heat","Philadelphia 76ers",230,221.4795202,224.4671195,204.14,219.0032166,221,220.26,207.31,220.6237575,216.7463,228.2321405,213.82,281.0770958,257.2792,218.7781,219.0018841,225.8085987,224
"24","4/6/2023","Portland Trail Blazers","San Antonio Spurs",256,223.5659354,226.60017,211.805,229.0928558,230,232.965,228.65,237.209268,225.0139,240.7428064,228.47,254.3506486,192.7123,230.1281,222.95152,231.0429217,228
"25","4/6/2023","Oklahoma City Thunder","Utah Jazz",212,225.501993,234.7084808,212.146,237.9150351,233,233.27,219.18,241.8900022,218.472,233.7318258,231.89,246.5649726,224.3594,234.6939,229.9379483,222.5439584,236
"26","4/6/2023","Denver Nuggets","Phoenix Suns",234,222.3846728,230.8477069,218.007,222.5492608,228,220.755,220.41,228.5554166,220.4712,226.866267,235.69,252.0868752,203.2551,224.7235,235.6299996,231.8918653,230
"27","4/7/2023","Houston Rockets","Charlotte Hornets",221,215.6602095,222.5486401,205.631,231.2338763,229,232.33,230.62,233.0848201,223.6576,237.8043505,225.25,227.148305,229.2531,234.3025,217.9850947,223.2549533,228
"28","4/7/2023","Miami Heat","Washington Wizards",222,219.2573724,222.6257011,205.686,218.0311503,222,222.43,NA,222.9781201,220.4436,227.1633384,220.5,243.2188155,214.6422,221.1111,223.0247423,229.4040873,229
"29","4/7/2023","Detroit Pistons","Indiana Pacers",237,221.8785174,226.7967156,207.18,235.7433652,231,233.975,226.92,237.227357,215.8308,228.9117818,225.83,226.5351516,204.7305,235.4631,222.32504,221.4913585,231
"30","4/7/2023","Orlando Magic","Brooklyn Nets",185,218.0182537,225.6180496,210.331,226.8529995,219,225.055,218.98,226.5251831,221.5933,229.7641558,227.38,242.9414578,215.1747,224.2954,224.929708,217.2379624,230
"31","4/7/2023","Toronto Raptors","Boston Celtics",223,219.8896415,230.9819107,217.074,227.9726353,226,228.75,234.71,229.6430011,224.2855,224.817142,226.69,264.656312,226.9956,221.7547,235.8150901,227.6655685,231
"32","4/7/2023","Philadelphia 76ers","Atlanta Hawks",267,230.9847165,233.1765648,221.783,226.8244389,227,232.145,224.96,237.1700161,225.0263,237.4746477,229.26,297.856421,229.2396,226.3728,226.8101509,247.938932,227
"33","4/7/2023","Memphis Grizzlies","Milwaukee Bucks",251,219.2412926,233.3722132,222.805,239.0329756,225,234.055,226.55,240.126872,218.3181,238.9819355,233.51,278.9365633,201.1916,233.5285,250.189014,234.5320703,227
"34","4/7/2023","New York Knicks","New Orleans Pelicans",218,225.3234742,230.135395,216.842,225.0142594,233,224.535,211.96,227.7267752,223.3571,225.8677611,225.42,255.9364863,232.275,231.4467,243.1260687,230.2571013,227
"35","4/7/2023","Chicago Bulls","Dallas Mavericks",227,216.2150765,227.3605489,216.538,223.7962583,225,229.2,210.92,225.8117612,218.9352,242.5160915,224.7,233.569295,202.8273,222.9386,228.538618,231.6461132,227
"36","4/7/2023","Golden State Warriors","Sacramento Kings",216,233.4845485,239.2525238,222.514,240.9551006,244,239.995,239.5,247.1745487,227.6634,236.4951605,238.9,259.7929638,198.2378,237.9883,236.7978458,242.2806548,224
"37","4/7/2023","Phoenix Suns","Los Angeles Lakers",228,224.6500646,230.2247513,218.07,228.6915863,226,227.93,222.21,234.7674111,220.8763,242.1533736,234.09,249.0976874,208.4873,232.321,232.6578788,229.735726,225
"38","4/8/2023","Denver Nuggets","Utah Jazz",232,223.2829754,233.9278724,220.154,230.9366058,231,227.425,233.93,237.0544943,217.5801,220.797697,233.37,250.5363488,224.2971,228.5311,229.9884155,231.3352183,230
"39","4/8/2023","Portland Trail Blazers","Los Angeles Clippers",161,219.5821705,227.1188564,208.772,225.237863,227,226.025,213.93,230.7937535,225.9014,220.3913766,NA,237.5041583,218.0755,223.5308,223.2117772,227.9021135,234
"40","4/8/2023","Minnesota Timberwolves","San Antonio Spurs",282,222.3674242,228.6395511,221.79,232.3746392,233,234.195,234.39,242.3923071,223.7853,234.4342225,238.53,269.2319648,192.5014,233.6842,227.2205335,237.4051553,221
"41","4/9/2023","Atlanta Hawks","Boston Celtics",234,219.8290811,235.9460407,222.486,236.629343,230,236.135,212.37,243.7213839,226.1129,225.7628938,236.56,282.5366556,226.9348,231.8707,249.7990113,239.2631524,235
"42","4/9/2023","Philadelphia 76ers","Brooklyn Nets",239,222.8575043,229.0217609,219.175,221.2990729,224,226.065,220.85,228.403865,222.3757,235.085144,228.55,276.0225073,215.1319,219.4067,224.1089519,230.8189111,227
"43","4/9/2023","Detroit Pistons","Chicago Bulls",184,219.2421268,224.552169,208.658,228.2219541,228,226.87,221.59,231.0971069,218.321,226.8992307,223.98,221.5454033,194.9636,230.3104,222.7950728,213.8188946,230
"44","4/9/2023","Charlotte Hornets","Cleveland Cavaliers",201,219.4837564,224.1286963,216.269,229.7026224,223,228.495,219.75,226.6209298,222.2913,242.4398445,233.08,232.2507974,212.1656,226.576,221.3120964,222.5640328,222
"45","4/9/2023","Orlando Magic","Miami Heat",233,214.6296815,221.0218813,202.662,224.2870899,216,221.35,209.6,221.8744954,215.9836,228.1388534,219.56,244.1806905,233.5094,224.0844,223.4929927,225.6958295,227
"46","4/9/2023","Indiana Pacers","New York Knicks",277,224.4881423,231.1579512,214.825,234.0274784,234,231.97,230.62,240.9552889,216.7679,231.0379725,228.23,250.7771627,224.8617,232.0683,231.7260065,238.1060967,230
"47","4/9/2023","Milwaukee Bucks","Toronto Raptors",226,229.0016523,229.7243204,216.349,229.4034145,224,228.9,221.32,234.2818357,225.3648,225.6313232,230.09,260.5209194,211.0677,229.7277,232.3984682,242.4308388,227
"48","4/9/2023","Houston Rockets","Washington Wizards",223,215.8159927,224.0832511,209.298,230.8088743,227,231.445,230.163,233.9075805,227.4063,235.8350788,226.67,239.8393077,214.3727,228.5409,222.52094,235.5432943,233
"49","4/9/2023","San Antonio Spurs","Dallas Mavericks",255,216.0132307,226.0057771,209.664,235.5571832,224,237.21,211.95,238.6583662,220.2527,229.7790412,225.24,254.9667705,202.7398,227.5864,231.5454631,220.9658645,226
"50","4/9/2023","Sacramento Kings","Denver Nuggets",204,231.202337,238.0834384,230.728,227.9343486,235,229.91,232.42,241.5478239,223.1413,229.6193448,239.34,260.0271492,201.9099,230.3059,236.3358929,241.8500019,227
"51","4/9/2023","Utah Jazz","Los Angeles Lakers",245,227.3147201,233.593949,218.014,238.2438391,232,233.7,223.77,244.0528471,217.9798,239.4428181,235.05,248.8982113,208.6444,236.7731,235.6363399,231.0268782,225
"52","4/9/2023","New Orleans Pelicans","Minnesota Timberwolves",221,222.3764471,230.4724244,219.823,229.7911726,232,226.505,224.57,233.0240274,226.594,235.6598111,233.59,255.8492561,235.6943,231.4629,237.4982569,228.3982664,220
"53","4/9/2023","Memphis Grizzlies","Oklahoma City Thunder",215,228.7466268,234.319192,222.185,240.0485416,225,233.375,231.32,240.7448907,216.2639,227.7467022,234.49,260.6127904,244.9416,237.2465,236.6409268,234.0164443,232
"54","4/9/2023","Los Angeles Clippers","Phoenix Suns",233,221.1693473,227.1530373,214.873,226.0676061,227,226.22,217.81,229.8767596,222.6444,238.8681511,NA,247.8557554,203.2937,224.9407,229.1993289,232.6487009,236
"55","4/9/2023","Golden State Warriors","Portland Trail Blazers",258,226.5888697,232.1928198,214.326,233.9286182,240,233.37,223.4,238.5610301,228.2298,234.9070984,231.23,242.1026296,215.7717,231.0336,226.1300391,220.3221399,226
